"analysis_group","pt_standard_en","pt","pt_cn","soc_en","soc_cn","cases","a","b","c","d","a_plus_b","a_plus_c","a_plus_b_plus_c_plus_d","ROR","ROR_025","ROR_975","ror_95ci_range","PRR","chi_squared","IC","IC025","expected_E","EBGM","EBGM05","is_ror_signal","is_prr_signal","is_bcpnn_signal","is_mgps_signal","is_core_ror_prr_signal","is_strict_four_algorithm_signal"
"Iodixanol","Urinary incontinence","Urinary incontinence","尿失禁","Renal and urinary disorders","肾脏及泌尿系统疾病","20","20","2249","28367","19875843","2269","28387","19906479","6.23","4.01","9.68","6.23 (4.01, 9.68)","6.18","86.99","2.63","2.18","3.2356","5.49","2.9","1","1","1","1","1","1"
"Iodixanol","Aphasia","Aphasia","失语","Nervous system disorders","各类神经系统疾病","20","20","2249","28877","19875333","2269","28897","19906479","6.12","3.94","9.51","6.12 (3.94, 9.51)","6.08","84.87","2.6","2.15","3.2938","5.4","2.86","1","1","1","1","1","1"
"Iodixanol","Hypoaesthesia","Hypoaesthesia","感觉减退","Nervous system disorders","各类神经系统疾病","20","20","2249","142834","19761376","2269","142854","19906479","1.23","0.79","1.91","1.23 (0.79, 1.91)","1.23","0.85","0.3","-0.15","16.2829","1.22","0.65","0","0","0","0","0","0"
"Iodixanol","Asthenia","Asthenia","虚弱","General disorders and administration site conditions","全身性疾病及给药部位各种反应","20","20","2249","358400","19545810","2269","358420","19906479","0.48","0.31","0.75","0.48 (0.31, 0.75)","0.49","10.84","-1.03","-1.48","40.8538","0.5","0.26","0","0","0","0","0","0"
"Iodixanol","Laryngeal oedema","Laryngeal oedema","喉水肿","Respiratory, thoracic and mediastinal disorders","呼吸系统、胸及纵隔疾病","19","19","2250","5856","19898354","2269","5875","19906479","28.69","18.25","45.1","28.69 (18.25, 45.10)","28.46","501.96","4.83","4.36","0.6697","16.67","8.77","1","1","1","1","1","1"
"Iodixanol","RENAL TUBULAR NECROSIS","RENAL TUBULAR NECROSIS","肾小管坏死","Renal and urinary disorders","肾脏及泌尿系统疾病","19","19","2250","9348","19894862","2269","9367","19906479","17.97","11.44","28.24","17.97 (11.44, 28.24)","17.83","301.36","4.15","3.69","1.0677","12.44","6.54","1","1","1","1","1","1"
"Iodixanol","Renal failure","Renal failure","肾衰","Renal and urinary disorders","肾脏及泌尿系统疾病","19","19","2250","129165","19775045","2269","129184","19906479","1.29","0.82","2.03","1.29 (0.82, 2.03)","1.29","1.25","0.37","-0.09","14.7248","1.28","0.67","0","0","0","0","0","0"
"Iodixanol","ERYTHEMA MULTIFORME","ERYTHEMA MULTIFORME","多形性红斑","Skin and subcutaneous tissue disorders","皮肤及皮下组织类疾病","18","18","2251","8870","19895340","2269","8888","19906479","17.94","11.27","28.53","17.94 (11.27, 28.53)","17.8","284.99","4.15","3.68","1.0131","12.23","6.39","1","1","1","1","1","1"
"Iodixanol","Bradycardia","Bradycardia","心动过缓","Cardiac disorders","心脏器官疾病","18","18","2251","51024","19853186","2269","51042","19906479","3.11","1.96","4.95","3.11 (1.96, 4.95)","3.09","25.58","1.63","1.16","5.8179","2.93","1.53","1","1","1","0","1","0"
"Iodixanol","Palpitations","Palpitations","心悸","Cardiac disorders","心脏器官疾病","18","18","2251","111227","19792983","2269","111245","19906479","1.42","0.89","2.26","1.42 (0.89, 2.26)","1.42","2.24","0.51","0.03","12.68","1.4","0.73","0","0","1","0","0","0"
"Iodixanol","Paraesthesia","Paraesthesia","皮肤异常感觉","Nervous system disorders","各类神经系统疾病","18","18","2251","150849","19753361","2269","150867","19906479","1.05","0.66","1.67","1.05 (0.66, 1.67)","1.05","0.04","0.07","-0.41","17.1963","1.05","0.55","0","0","0","0","0","0"
"Iodixanol","Hyperthyroidism","Hyperthyroidism","甲状腺功能亢进症","Endocrine disorders","内分泌系统疾病","17","17","2252","13553","19890657","2269","13570","19906479","11.08","6.87","17.86","11.08 (6.87, 17.86)","11","154.51","3.46","2.97","1.5467","8.55","4.44","1","1","1","1","1","1"
"Iodixanol","DELIRIUM","DELIRIUM","谵妄","Psychiatric disorders","精神病类","17","17","2252","32562","19871648","2269","32579","19906479","4.61","2.86","7.42","4.61 (2.86, 7.42)","4.58","47.62","2.19","1.71","3.7135","4.15","2.16","1","1","1","1","1","1"
